#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
WELCOME_HEADER;Welcome to Crusader Kings II;Bienvenue à Crusader Kings II;Willkommen zu Crusader Kings II;;Bienvenido a Crusader Kings II;;;;;;;;;x
#EVTDESC_CM_4200;[From.GetTitledName] has declared [From.GetHerHis] renunciation of Iconoclasm, denouncing it as a heresy and officially returning the Empire to Orthodoxy. [From.GetSheHe] commands all [From.HerHis] subjects to follow suit and again venerate the holy icons and other religious art.;[From.GetTitledName] a déclaré son renoncement à l'iconoclasme, le dénonçant comme hérésie, et prônant le retour officiel à l'Empire orthodoxe. [From.GetSheHe] commande à tous ses sujets de faire de même et de vénérer à nouveau les saintes icônes et autres formes d'art religieux.;[From.GetTitledName] hat dem Ikonoklasmus abgeschworen, verdammt sie als Ketzerei und führt von Amts wegen die Orthodoxie im Reich wieder ein. [From.GetSheHe] befiehlt all [From.HerHis] Untertanen, dem Beispiel zu folgen und wieder die heiligen Ikonen und andere religiöse Kunstwerke zu verehren. ;;[From.GetTitledName] ha declarado [From.GetHerHis] renuncia a la Iconoclastia, denunciándola como herejía y devolviendo el Imperio a la Ortodoxia.;;;;;;;;;x
#EVTOPTA_CM_4200;As the [From.GetTitle] commands!;Selon la volonté de [From.GetTitle] !;Wie [From.GetTitle] befiehlt!;;¡Como [From.GetTitle] ordene!;;;;;;;;;x
#EVTOPTB_CM_4200;Idolatry is an abomination - I refuse!;L'idolâtrie est une abomination, je refuse !;Götzendienst ist abscheulich! Ich weigere mich!;;¡La Idolatría es una abominación! ¡Yo la rechazo!;;;;;;;;;x
#opinion_idolater;Idolater;Idolâtrer;Götzendiener;;Idólatra;;;;;;;;;x
#renounce_iconoclasm_muslim_opinion_tooltip;Muslim rulers will condemn you for your Idolatry.\n;Les dirigeants musulmans vous condamneront pour votre idolâtrie.\n;Muslimische Herrscher werden Euch wegen Eures Götzendienstes verurteilen.\n;;Los gobernantes musulmanes te condenarán por tu Idolatría.\n;;;;;;;;;x
#RULER_DIPLOMACY_BONUS;Ruler Diplomacy Bonus;Bonus de diplomatie dirigeante;Herrscher-Diplomatiebonus;;Bonificación en Diplomacia de Gobernante;;;;;;;;;x
LIEGE_LEVY_DESC_OP;   Opinion: $VALUE$\n;  Opinion : $VALUE$\n;   Meinung: $VALUE$\n;;   Opinión: $VALUE$\n;;;;;;;;;;;x
LIEGE_LEVY_DESC_LAWS;   Laws: $VALUE$;   Lois : $VALUE$;   Gesetze: $VALUE$;;   Leyes: $VALUE$;;;;;;;;;;;x
LIEGE_LEVY_DESC_VL;\n   Over Vassal Limit: $VALUE$;\n Nombre de vassaux au-delà de la limite $VALUE$;\n   Über dem Vasallenlimit: $VALUE$;;\n Por encima del Límite de Vasallos: $VALUE$;;;;;;;;;x
#FAMILY_PRESTIGE_BONUS;\nFamily Prestige Bonus;Bonus de influence familial;\nFamilien-Prestigebonus;;\nBonificación por Prestigio Familiar;;;;;;;;;x
OVER_VASSAL_LIMIT;Over Vassal Limit;Nombre de vassaux au-delà de la limite;Über dem Vasallenlimit;;Por encima del Límite de Vasallos;;;;;;;;;x
CHARACTER_HAS_CLAIMS;This person holds claims to these titles;Cette personne détient des revendications sur ces titres;Diese Person hat Anspruch auf folgende Titel:;;Esta persona posee reclamaciones sobre esos títulos;;;;;;;;;x
EVTDESC_108005;My lord has agreed to give me the responsibility of handing out recently acquired titles.;Mon seigneur a accepté de me donner la responsabilité de distribuer les titres récemment acquis.;Mein Lehnsherr hat mir die Verantwortung für die Verteilung seiner kürzlich erworbenen Titel übertragen.;;Mi señor feudal ha accedido a darme la responsabilidad de gestionar sus títulos recientemente adquiridos.;;;;;;;;;x
EVTDESC_108006;My lord has denied to give me the responsibility of handing out recently acquired titles.;Mon seigneur a refusé de me donner la responsabilité de distribuer les titres récemment acquis.;Mein Lehnsherr hat es abgelehnt, mir die Verantwortung für die Verteilung seiner kürzlich erworbenen Titel zu übertragen.;;Mi señor feudal ha denegado darme la responsabilidad de gestionar sus títulos recientemente adquiridos.;;;;;;;;;x
EVTDESC_108020;I've been given a title by my lord to hand out.;Mon seigneur m'a donné un tire à distribuer.;Mein Lehnsherr hat mir einen Titel zum Verleihen gegeben.;;Mi señor feudal me ha dado un título para que lo distribuya.;;;;;;;;;x
EVTOPTA_108020;Give title to the best candidate.;Donner le titre au meilleur candidat.;Gebt dem besten Kandidaten den Titel.;;Dar el título al mejor candidato.;;;;;;;;;x
EVTOPTB_108020;Give title to the second best candidate.;Donner le titre au second meilleur candidat.;Gebt dem zweitbesten Kandidaten den Titel.;;Dar el título al segundo mejor candidato.;;;;;;;;;x
EVTOPTC_108020;Give title to the third best candidate.;Donner le titre au troisième meilleur candidat.;Gebt dem drittbesten Kandidaten den Titel.;;Dar el título al tercer mejor candidato.;;;;;;;;;x
EVTOPTD_108020;Give title to an unknown noble.;Donner le titre à un noble inconnu.;Gebt einem unbekannten Adligen den Titel.;;Dar el título a un noble desconocido.;;;;;;;;;x
EVTOPTE_108020;Give title to someone close to you.;Donner le titre à un de vos proches.;Gebt den Titel jemand anderem, den Ihr kennt.;;Dar el título a alguien próximo a ti.;;;;;;;;;x
HAS_CHANCELLOR;Has a chancellor;A un chancelier;Hat einen Kanzler;;Tiene un canciller;;;;;;;;;x
ask_help_to_manage_titles;Ask for Help with Managing your Titles;Demander de l'Aide pour Gérer vos Titres;Bittet für die Verwaltung Eurer Titel um Hilfe;;Pedir Ayuda para Gestionar tus Títulos;;;;;;;;;x
ask_help_to_manage_titles_desc;Ask your chancellor to help you take care of your newly acquired titles.;Demander à votre chancelier de vous aider à gérer vos titres.;Bittet Euren Kanzler für die Verwaltung Eurer neu erworbenen Titel um Hilfe.;;Pedir ayuda a tu canciller para que se haga cargo de tus títulos recientemente adquiridos.;;;;;;;;;x
tribal_vassal_refused_call;Refused Call to War;A refusé d'en appeler aux armes;Hat den Kriegsaufruf verweigert;;Llamada a la Guerra rechazada;;;;;;;;;x
elective_gavelkind;Elective Gavelkind;Gavelkind électif;Wahlweise Realteilung;;Gavelkind Electiva;;;;;;;;;x
succ_elective_gavelkind;Elective Gavelkind;Gavelkind électif;Wahlweise Realteilung;;Gavelkind Electiva;;;;;;;;;x
succ_elective_gavelkind_desc;The titles of the ruler are divided among his children and the primary heir, who is elected from among the members of the ruling House. The law defaults to Primogeniture. You get no Prestige penalty for having unlanded sons, and can have a §Y30%§! larger demesne. Destruction of titles under any form of Gavelkind succession is not allowed. On succession in kingdoms and high kingdoms, new kingdoms might be created for younger sons if possible. Junior heirs always get the choice to declare independence without a war.;Les titres du dirigeant sont répartis parmi ses enfants et son héritier principal, qui est élu parmi les membres de la dynastie dirigeante. La loi basée sur la primogéniture s'applique Vous ne perdez pas de Prestige si vous avez des fils sans terres et vous pouvez avoir un domaine §Y30%§! plus grand. Il n'est pas permis de détruire des titres qui sont régis par la succession Gavelkind. Concernant la succession des royaumes et des empires, de nouveaux royaumes peuvent être créés pour les plus jeunes fils dans la mesure du possible. Les héritiers plus jeunes ont toujours le choix de déclarer l'indépendance sans guerre.;Die Titel des Herrschers werden unter seinen Kinder und den Haupterben verteilt, der aus den Mitgliedern der herrschenden Dynastie gewählt wird. Nach der Gesetzesregel erbt der Erstgeborene. Wenn Ihr landlose Söhne habt, bekommt Ihr keine Prestigestrafe und dürft eine um §Y30%§! größere Domäne haben. Die Vernichtung von Titeln, durch welche Form der Realteilung auch immer, ist nicht erlaubt. Bei der Nachfolge in König- und Kaiserreichen können, falls möglich, für jüngere Söhne neue Königreiche gegründet werden. Jüngere Erben bekommen immer die Wahl, ohne Krieg die Unabhängigkeit zu erklären.;;Los títulos del gobernante se reparten entre sus hijos y su principal heredero, que es elegido de entre los miembros de la dinastía reinante. La ley señala, por defecto, al primogénito. Aunque tengas hijos sin tierras, no recibirás ninguna penalización de Prestigio, y puedes obtener una terratenencia un ¡§Y30%§! mayor. No se permite la destrucción de títulos bajo ninguna forma de la sucesión Gavelkind. En la sucesión en reinos e imperios, se pueden crear nuevos reinos destinados a los hijos menores, a ser posible. Los herederos más pequeños siempre tienen la opción de declarar la independencia sin una guerra.;;;;;;;;;x

crown_authority;Crown Authority;Autorité royale;Macht der Krone;;Autoridad de la Corona;;;;;;;;;x
crown_authority_desc;Medieval kings and emperors fought a constant battle with their vassals over privileges, rights and obligations. The nobility, naturally, tended to favor a weak state...;Les rois et empereurs médiévaux livrent une constante bataille avec leurs vassaux au sujet des privilèges, des droits et des obligations. Naturellement, la noblesse a tendance à privilégier un État faible.;Mittelalterliche Könige und Kaiser kämpften stets gegen ihre Vasallen um Privilegien, Rechte und Pflichten. Dem Adel war natürlich ein  schwacher Staat lieber...;;Los reyes y los emperadores medievales lucharon sin cesar con sus vasallos por sus privilegios, derechos y obligaciones. La nobleza, lógicamente, suele preferir un estado débil...;;;;;;;;;x
crown_authority_0;Autonomous Vassals;Vassaux autonomes;Autonome Vasallen;;Vasallos independientes;;;;;;;;;x
crown_authority_0_option;Min;Min.;Min;;Mín.;;;;;;;;;x
crown_authority_0_desc;Vassals are a law unto themselves, ruling their lands like petty kingdoms. Their obligations to their liege are minimal.;Les vassaux n'obéissent qu'à leurs propres règles, dirigeant leurs fiefs comme de petits royaumes. Leurs obligations envers leur seigneur sont minimales.;Vasallen sind sich selbst das Gesetz und herrschen in ihren Lehen wie kleine Könige. Ihre Verpflichtungen gegenüber dem Lehnsherrn sind minmal.;;Los vasallos tienen sus propias leyes y gobiernan sus feudos como si fueran pequeños reinos. Sus obligaciones hacia su señor son mínimas.;;;;;;;;;x
crown_authority_1;Limited Crown Authority;Autorité royale limitée;Begrenzte Macht der Krone;;Autoridad de la Corona limitada;;;;;;;;;x
crown_authority_1_option;Low;Faible;Niedrig;;Baja;;;;;;;;;x
crown_authority_1_desc;Vassals enjoy a very large degree of autonomy, but have to provide their liege with a fairly substantial portion of the levies.;Les vassaux ont une grande autonomie, mais ils doivent remettre à leur seigneur une importante part de leurs levées.;Vasallen genießen weitgehende Autonomie, müssen aber einen nicht unwesentlichen Anteil der von ihnen eingenommenen Abgaben an den Lehnsherrn abgeben.;;Los vasallos gozan de bastante autonomía, pero tienen que proporcionar levas suficientes a su señor.;;;;;;;;;x
crown_authority_2;Medium Crown Authority;Autorité royale moyenne;Mittlere Macht der Krone;;Autoridad de la Corona media;;;;;;;;;x
crown_authority_2_option;Medium;Moyenne;Mittel;;Media;;;;;;;;;x
crown_authority_2_desc;The powers of the nobility and the ruler are in precarious balance.;Il y a un équilibre fragile entre les pouvoirs des nobles et du monarque.;Die Macht des Adels und des Monarchen stehen in einem stets gefährdeten Gleichgewicht;;El poder de la nobleza y el del monarca están en un equilibrio precario.;;;;;;;;;x
crown_authority_3;High Crown Authority;Autorité royale forte;Starke Macht der Krone;;Autoridad de la Corona alta;;;;;;;;;x
crown_authority_3_option;High;Forte;Stark;;Alta;;;;;;;;;x
crown_authority_3_desc;The ruler has curbed the rights of the high nobility, relying instead on a budding bureaucracy led by the lesser nobility.;Le monarque limite les droits de la haute noblesse et se fie plutôt à une bureaucratie grandissante dirigée par une noblesse de second rang.;Der Monarch hat die Rechte des Hochadels beschnitten und stützt sich stattdessen auf eine neu entstehende, vom niederen Adel geführte Verwaltung.;;El monarca ha reprimido los derechos de la alta nobleza y, en su lugar, confía en una burocracia incipiente dirigida por la baja nobleza.;;;;;;;;;x
crown_authority_4;Absolute Crown Authority;Autorité royale absolue;Absolute Macht der Krone;;Autoridad de la Corona absoluta;;;;;;;;;x
crown_authority_4_option;Max;Max.;Max;;Máx.;;;;;;;;;x
crown_authority_4_desc;The Lords of the Realm are chafing under the unrestricted powers of the absolute ruler.;Les seigneurs du royaume sont irrités devant le pouvoir sans limites du monarque absolu.;Die Adligen im Reich ächzen unter der uneingeschränkten Macht des Monarchen.;;Los señores del reino están molestos con los poderes ilimitados del monarca absolutista.;;;;;;;;;x
centralization;Centralization;Centralisation;Zentralisierung;;Centralización;;;;;;;;;x
centralization_desc;A centralized realm is important for the liege to grow powerful, but a decentralized one might be easier to maintain.;Un état centralisé apporte un pouvoir grandissant au seigneur, mais un état décentralisé est plus facile à entretenir.;Ein zentralisierter Staat begünstigt den Machtzuwachs des Lehnsherrn, doch ein dezentalisierter Staat könnte leichter zu handhaben sein.;;Para el señor feudal es importante un estado centralizado para incrementar su poder, pero un estado descentralizado puede ser más fácil de mantener.;;;;;;;;;x
centralization_0;Decentralized;Décentralisé;Dezentralisiert;;Descentralizado;;;;;;;;;x
centralization_0_option;Min;Min.;Min;;Mín.;;;;;;;;;x
centralization_0_desc;The realm is entirely decentralized, and can effectively handle many vassals.;Le royaume est entièrement décentralisé et on peut en effet y supporter de nombreux vassaux.;Das Reich ist ganz und gar dezentralisiert und kann zahlreiche Vasallen erfolgreich beherrschen.;;El reino está completamente descentralizado y puede gestionar de manera efectiva muchos vasallos.;;;;;;;;;x
centralization_1;Low Centralization;Faible centralisation;Geringe Zentalisierung;;Baja centralización;;;;;;;;;x
centralization_1_option;Low;Faible;Gering;;Baja;;;;;;;;;x
centralization_1_desc;The realm is somewhat decentralized, and can effectively handle several vassals.;Le royaume assez décentralisé et on peut en effet y supporter plusieurs vassaux.;Das Reich ist etwas dezentralisiert und kann erfolgreich mehrere Vasallen beherrschen.;;En cierto modo, el reino está descentralizado y puede gestionar de manera efectiva varios vasallos;;;;;;;;;x
centralization_2;Medium Centralization;Centralisation moyenne;Mittelstarke Zentralisierung;;Centralización Media;;;;;;;;;x
centralization_2_option;Medium;Moyenne;Mittel;;Media;;;;;;;;;x
centralization_2_desc;The realm is neither centralized nor decentralized, a balance between effective handling of vassals and a powerful demesne for the top liege.;Le royaume est entre la centralisation et la décentralisation, un équilibre entre une efficace poignée de vassaux et un domaine puissant pour le grand seigneur.;Das Reich ist weder zentralisiert noch dezentralisiert, es herrscht ein Gleichgewicht zwischen wirksamer Herrschaft über Vasallen und einer starken Domäne für den obersten Lehnsherrn.;;El reino no está ni centralizado ni descentralizado, existe un equilibrio entre una gestión efectiva de los vasallos y una terratenencia poderosa para el señor feudal supremo.;;;;;;;;;x
centralization_3;High Centralization;Forte centralisation;Starke Zentralisierung;;Centralización Alta;;;;;;;;;x
centralization_3_option;High;Forte;Stark;;Alta;;;;;;;;;x
centralization_3_desc;The realm is somewhat centralized, and allows a big demesne for the top liege.;Le royaume est assez centralisé et permet un important domaine pour le grand seigneur.;Das Reich ist etwas zentralisiert und erlaubt eine große Domäne für den obersten Lehnsherrn.;;En cierto modo, el reino está centralizado y permite una gran terratenencia para el señor feudal supremo.;;;;;;;;;x
